Below is the amount of Stat Exp enemy trainer pokemon receive in hard mode.

Trainer 
'mon 
level	Stat EXP in each stat
1		0
2		0
3		0
4		0
5		0
6		122
7		256
8		402
9		560
10		730
11		912
12		1106
13		1312
14		1530
15		1760
16		2002
17		2256
18		2522
19		2800
20		3090
21		3392
22		3706
23		4032
24		4370
25		4720
26		5082
27		5456
28		5842
29		6240
30		6650
31		7072
32		7506
33		7952
34		8410
35		8880
36		9362
37		9856
38		10362
39		10880
40		11410
41		11952
42		12506
43		13072
44		13650
45		14240
46		14842
47		15456
48		16082
49		16720
50		17370
51		18032
52		18706
53		19392
54		20090
55		20800
56		21522
57		22256
58		23002
59		23760
60		24530
61		25312
62		26106
63		26912
64		27730
65		28560
66		29402
67		30256
68		31122
69		32000
70		32890
71		33792
72		34706
73		35632
74		36570
75		37520
76		38482
77		39456
78		40442
79		41440
80		42450
81		43472
82		44506
83		45552
84		46610
85		47680
86		48762
87		49856
88		50962
89		52080
90		53210
91		54352
92		55506
93		56672
94		57850
95		59040
96		60242
97		61456
98		62682
99		63920
100		65170
